TextDate,Summary,MarketName,Period,ProfitAndLoss,Transaction type,Reference,Open level,Close level,Size,Currency,PL Amount,Cash transaction,DateUtc,OpenDateUtc,CurrencyIsoCode,Balance,Daily Return
30/05/2008,Cash In,BPAY RECEIVED,-,A$100.00,DEPO,18614672,-,0.0,-,A$,100.0,False,2008-05-29 23:11:48,2008-05-29 23:11:48,AUD,,
30/05/2008,Cash In,BPAY RECEIVED,-,A$100.00,DEPO,18614672,-,0.0,-,A$,100.0,False,2008-05-29 23:11:48,2008-05-29 23:11:48,AUD,100.0,
30/05/2008,Cash In,BPAY RECEIVED,-,A$100.00,DEPO,18614672,-,0.0,-,A$,100.0,False,2008-05-29 23:11:48,2008-05-29 23:11:48,AUD,100.0,
30/05/2008,Cash In,BPAY RECEIVED,-,A$100.00,DEPO,18614672,-,0.0,-,A$,100.0,False,2008-05-29 23:11:48,2008-05-29 23:11:48,AUD,,
30/05/2008,Closing trades,Spot FX GBP/USD,-,-39.44,DEAL,AP4BL3AE,19705.3,19720.3,-0.25,A$,-39.44,False,2008-05-30 13:59:48,2008-05-30 13:36:57,AUD,,
30/05/2008,Closing trades,Spot FX GBP/USD,-,-39.44,DEAL,AP4BL3AE,19705.3,19720.3,-0.25,A$,-39.44,False,2008-05-30 13:59:48,2008-05-30 13:36:57,AUD,60.56,
30/05/2008,Closing trades,Spot FX GBP/USD,-,-39.44,DEAL,AP4BL3AE,19705.3,19720.3,-0.25,A$,-39.44,False,2008-05-30 13:59:48,2008-05-30 13:36:57,AUD,60.56,
30/05/2008,Closing trades,Spot FX GBP/USD,-,-39.44,DEAL,AP4BL3AE,19705.3,19720.3,-0.25,A$,-39.44,False,2008-05-30 13:59:48,2008-05-30 13:36:57,AUD,,
02/06/2008,Closing trades,Spot FX GBP/USD,-,126.4,DEAL,AP4FLTAE,19719.6,19767.5,+0.25,A$,126.4,False,2008-06-01 21:42:07,2008-05-30 14:01:20,AUD,,
02/06/2008,Closing trades,Spot FX GBP/USD,-,126.4,DEAL,AP4FLTAE,19719.6,19767.5,+0.25,A$,126.4,False,2008-06-01 21:42:07,2008-05-30 14:01:20,AUD,186.96,
02/06/2008,Closing trades,Spot FX GBP/USD,-,126.4,DEAL,AP4FLTAE,19719.6,19767.5,+0.25,A$,126.4,False,2008-06-01 21:42:07,2008-05-30 14:01:20,AUD,186.96,
